OBJECTID,REF_NUMBER,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,ACCIDENT_DETAILS,X,Y,RENDER
18,171701415,2017/02/07 00:00:00+00,1520,3,Slight,LC,Loss of Control,1,1,0,0,1,0,0,V1 (CAS1) (MCYCLE) TRAV SE ON WINTERSTOKE RD AT J/WITH LUCKWELL RD. CAS1 HAS STEPPED OUT INTO THE C/WAY CAUSING V1 TO SWERVE AND R1 TO BECOME UNSEATED.,357580,170691,MCYC
19,171701419,2017/02/08 00:00:00+00,2150,3,Slight,NT,Nose to Tail,2,2,0,0,0,0,0,"V2 (CAS2) TRAV NW ON ST PHILLIPS CAUSEWAY, V1 (CAS1) TRAV NW ON ST PHILLIPS CAUSEWAY BEHIND V2. V1 HAS C/WITH THE REAR V2. CONFLICTING REPORTS FROM BOTH PARTIES.",361173,171978,CARS
20,171701425,2017/02/28 00:00:00+00,630,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,"V1 (CAS1) TRAV NE ON BRUNEL WAY, V1 HAS BEGUN SLOWING WITH FLOW OF TRAFFIC, V2 TRAV BEHIND HAS C/WITH THE REAR OF V1. V2 HAS MADE OFF FAILING TO STOP",356757,172206,CARS
21,171701441,2017/01/22 00:00:00+00,1620,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,"V1 (CAS1) (MCYCLE) TRAV SE ON CHELTENHAM RD AT J/WITH STATION RD. V2 TRAV NW ON CHELTENHAM RD AT J/WITH STATION RD. V2 HAS MADE A R/TURN INTO STATION RD  CAUSING R1 TO TAKE EVASIVE ACTION, R1 HAS BECOME UNSEATED. V2 FAILED TO STOP, NO CONTACT BETWEEN",358920,174598,MCYC
22,171701458,2017/02/06 00:00:00+00,1205,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,V1 TRAV SE ON ELGIN PK AT J/WITH CLYDE RD. V2 (CAS1) TRAV SW ON CLYDE RD AT J/WITH ELGIN PK. V2 HAS PULLED ONTO ELGIN PK AND C/WITH PASSING V1. (CF ADDED FOR VALIDATION),357797,174626,CARS
23,171701105,2017/02/13 00:00:00+00,1145,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,"V2 (CAS1) (CYCLE) TRAV SW ON FISHPONDS RD AT J/WITH EAST PK. V1 TRAV NE ON FISHPONDS RD, V1 HAS MADE A R/TURN INTO EAST PK. V2 HAS C/WITH TURNING V2. R2 HAS BECOME UNSEATED",361058,174793,CYC
24,171701169,2017/02/16 00:00:00+00,1915,3,Slight,NT,Nose to Tail,3,1,0,0,0,0,0,"V2 TRAV E ON HIGH ST AT J/WITH PARK RD. V2 HAS COME TO A FULL STOP, WAITING TO MAKE A R/TURN. V1 (CAS1) HAS COME TO A FULL STOP BEHIND STATIC V2. V3 TRAV BEHIND HAD C/WITH THE REAR OF V1 WHICH HAS SHUNTED INTO THE REAR OF V2. V3 HAS LEFT THE SCENE RE",353335,176859,CARS
25,171701241,2017/02/17 00:00:00+00,1725,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,1,0,0,V1 (CAS1) (CYCLE) TRAV SE ON BATH RD ON PAVEMENT. V2 (MCYCLE) TRAV SE ON BATH RD IN BSLN. V1 HAS ENTERED THE BSLN FROM THE PAVEMENT AND C/WITH PASSING V2.,359986,171783,CYC
26,171701471,2017/02/08 00:00:00+00,1720,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,"V1 TRAV SW ON FULFORD RD AT J/WITH MOWCROFT RD. V2 (CAS1) (MCYCLE) TRAV SW BEHIND V1. V2 HAS C/WITH THE REAR OF STATIC V1. V2 HAS BECOME STUCK ON THE UNDERCARRIAGE OF V1, R2 HAS BEEN DRAGGED BEHIND V1 AS IT MADE A L/HAND TURN.",358475,168024,MCYC
27,171701488,2017/02/10 00:00:00+00,1555,3,Slight,J1,Turning Movement from major road,2,3,0,0,0,1,0,V1 (CAS1) (LGV) TRAV SE ON MULLER RD AT J/WITH GLOUCESTER ST. V2 (CAS2 CAS3) TRAV W ON MULLER RD AT SPEED IN INSIDE LANE. V1 HAS MADE A R/TURN ACROSS TWO ONCOMING LANES AND C/WITH PASSING V2,361483,175144,CARS
28,171701495,2017/02/11 00:00:00+00,940,2,Serious,J2,Turning Movement from minor road,2,1,0,0,0,0,1,V1 (CAS1) TRAV NE ON ST PETERS RISE AT J/WITH HEADLEY LN .V1 HAS MADE A R/TURN ONTO THE INCORRECT SIDE OF HEADLEY LN AND C/WITH PARKED AND UNATTENDED V2.,357958,169533,CARS
29,171701496,2017/02/11 00:00:00+00,1608,2,Serious,J2,Turning Movement from minor road,2,1,0,0,1,0,0,V1 TRAV N ON BELMONT RD AT J/WITH SANDY PARK RD. V2 (CAS1) (MCYCLE) TRAV W ON SANDY PARK RD. V1 HAS MADE A R/TURN ONTO SANDY PARK RD AND C/WITH PASSING V2. R2 HAS BECOME UNSEATED,361262,171534,MCYC
30,171701563,2017/02/16 00:00:00+00,1719,3,Slight,NT,Nose to Tail,5,1,0,0,0,0,0,"V1 TRAV NE ON M32, V1 HAS COME TO A SUDDEN STOP WITH FLOW OF TRAFFIC, V2 (CAS1) HAS COME TO A FULL STOP BEHIND V1, V3 HAS COME TO A FULL STOP BEHIND V2. V4 FOLLOWING BEHIND WAS UNABLE TO STOP AND C/WITH THE REAR OF V3 WHICH SHUNTED INTO V2 WHICH SHUN",361015,174971,CARS
31,171701583,2017/02/14 00:00:00+00,2030,3,Slight,LC,Loss of Control,1,1,0,0,1,0,0,"V1 (CAS1)  (MCYCLE) TRAV W ON CLIFT HOUSE RD.V1 HAS MOVED RIGHT TO O/TAKE SLOWER MOVING VEHICLE , V1 HAS MOUNTED THE CENTRAL RESERVATION AND C/WITH A ROAD SIGN AND LAMP POST",357132,171886,MCYC
32,171701588,2017/02/11 00:00:00+00,1700,3,Slight,LC,Loss of Control,3,1,0,0,0,0,0,V1 (CAS1) TRAV SE ON NOVERS PK. V3 TRAV NW ON NOVERS PK. V1 HAS SWERVED TO AVOID ONCOMING V3 HAS MOUNTED THE PAVEMENT AND C/WITH PARKED AND UNATTENDED V2 AND GARDEN WALL OF PRIVET PROPERTY. V3 HAS LEFT THE SCENE WITHOUT STOPPING,358842,169852,CARS
33,171701595,2017/02/13 00:00:00+00,1050,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,"V1 REVERSING ONTO TEMPLE WAY  FROM CHAMPION SQ, CAS1 HAS STEPPED OUT BEHIND V1 AND BEEN STRUCK, CAS1 HAS BEEN KNOCKED TO THE GROUND AND SUSTAINED HEAD INJURIES",359519,173378,E
34,171701598,2017/02/15 00:00:00+00,2245,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,"V2 (CAS1) (CYCLE) TRAV SE ON HIGH ST AT J/WITH BRISTOL BRIDGE. V1 HAS C/WITH THE REAR OF V2 BEFORE OVERTAKING AND FLEEING THE SCENE, FAILING TO STOP. R2 HAS SUSTAINED INJURIES TO ANKLE AND HIP.",358990,172924,CYC
35,171701383,2017/02/25 00:00:00+00,1930,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,V1 TRAV N ON MAGDALENE PL. V2 (CAS1) TRAV N BEHIND V1. V1 HAS REVERSED BACKWERDS AND C/WITHY THE FRONT OF V2.,359885,174378,CARS
36,171701600,2017/03/07 00:00:00+00,1556,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,V1 (CAS1) (CYCLE) TRAV W ON PARK ST. V2 TRAV W ON PARK ST BEHIND. V2 HAS C/WITH THE REAR OF V1. R1 HAS BECOME UNSEATED,358460,172764,CYC
37,171701601,2017/02/11 00:00:00+00,1640,2,Serious,NONE,Other,2,1,1,0,0,0,0,"V1 (CAS1) ( BROKEN DOWN VEHICLE PARKED AT KERB) ON BRISLINGTON HILL, BATH RD. MECHANIC HAS BEEN ATTEMPTING TO REPAIR V1. V1 HAS ROLLED BACKWARDS SENDING MECHANIC TO THE GROUND. V1 HAS C/WITH PARKED AND UNATTENDED V2 BEHIND",362092,170584,CARS
38,171701629,2017/02/09 00:00:00+00,1914,3,Slight,HO,Head On,2,4,0,0,0,2,0,V1 (CAS2 CAS4)  TRAV SE ON ST LUKES RD. V2 (DRIVER INTOXICATED) (CAS1 CAS3) TRAV NW ON ST LUKES RD. BOTH VEHICLES HAVE ENTERED A NARROW SECTION OF ROAD UNDERNEATH A RAILWAY BRIDGE AND COLLIDED HEAD ON.,359602,171560,CARS
39,171701634,2017/02/28 00:00:00+00,610,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,1,V1 TRAV NW ON WHITELADIES RD AT R/ABOUT WITH REDLAND HILL. V2 (CAS1) (CYCLE) TRAV SW ON R/ABOUT. V1 HAS PULLED ONTO R/ABOUT AND C/WITH PASSING V2. R2 HAS BECOME UNSEATED.,357664,175032,CYC
40,171701642,2017/02/14 00:00:00+00,1726,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,"V1 TRAV S ON STOKES CROFT AT J/WITH ASHLEY RD. CAS1 HAS BEEN CROSSING PED CROSSING ON ASHLEY RD WITH GREEN ATL FOR PEDESTRIANS. V1 HAS GONE THROUGH A RED ATL AND MADE A L/TURN, V1 HAS C/WITH CROSSING CAS1.",359131,174079,A
41,171701655,2017/02/03 00:00:00+00,1611,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,V1 (LGV) TRAV SE ON VICTORIA ST IN INSIDE LN. V2 (CAS1) (TAXI) TRAV SE ON VICTORIA ST IN OUTSIDE LN. V1 HAS PREFORMED A U/TURN AND C/WITH PASSING V2.,359118,172830,CARS
42,171701664,2017/01/22 00:00:00+00,232,2,Serious,NK,NOT KNOWN,1,1,1,0,0,0,0,R/P CROSSING THE ROAD AND AS A VEHICLE DROVE PAST HIM IT HAS DRIVEN OVER THE R/P FOOT AND FAILED TO STOP.,359085,173843,CARS
43,171701671,2017/02/22 00:00:00+00,1900,3,Slight,NONE,Other,2,1,0,1,0,0,0,"V1 (PARKED) AT KERB ON MELVIN SQ. V2 (CAS1) (CYCLE) TRAV N ON MELVIN SQ. D1 HAS OPENED DOOR INTO THE PATH OF ONCOMING V2, V2 HAS C/WITH OPEN DOOR, R2 HAS BECOME UNSEATED.",359280,170075,CYC
44,171701679,2017/03/04 00:00:00+00,1150,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,V1 TRAV SE ON PARRYS LN. V2 (CAS1) (CYCLE) TRAV NW ON PARRYS LN. V1 AND V2 HAVE COLLIDED HEAD ON AT NARROW SECTION IN THE ROAD. (POOR ACCIDENT DESCRIPTION) (CF ADDED FOR VALIDATION),356643,176163,CYC
45,171701707,2017/02/21 00:00:00+00,1630,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,"V1 TRAV NE ON GLENFROME RD AT J/WITH BRIDGE RD. V2 (CAS1) (CYCLE) TRAV SE ON BRIDGE RD AT J/WITH GLENFROME RD. V1 HAS IGNORED A NO ENTRY SIGN AND MADE A L/TURN ONTO BRIDGE RD CONTRAVENING THE FLOW OF TRAFFIC. V2 HAS TAKEN EVASIVE ACTION, R2 HAS BECOM",360600,175208,CYC
46,171701709,2017/02/23 00:00:00+00,1220,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,V1 TRAV NE ON UPPER MAUDLIN ST AT J/WITH ST MICHAEL'S HILL. CAS1 HAS STEPPED OUT INTO THE C/WAY AND BEEN STRUCK BY PASSING V1.,358578,173286,E
47,171701715,2017/02/21 00:00:00+00,1858,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,V1 (UNKNOWN VEHICLE TYPE) TRAV S ON WHITEHALL RD AT J/WITH CHALKS ROAD. V1 HAS BEEN STATIC AT PEDESTRIAN CROSSING. V1 HAS MOVED FORWARD AND C/WITH CROSSING CAS1. ATL PRIORITY AT THE TIME UNKNOWN. BOTH PARTIES REPORTING LIGHT AS GREEN.,361611,173828,A
48,171700261,2017/01/08 00:00:00+00,325,3,Slight,LC,Loss of Control,3,1,0,0,0,0,0,"V1 (CAS1) HAS BEEN SPOTTED GOING THE WRONG WAY AROUND A R/ABOUT.V2 (POLICE VEHICLE) HAS GIVEN CHASE ON BLUES AND TWOS. V1 HAS MADE OFF ON INNERCITY STREETS WITH V2 GIVING CHASE.V1 HAS EXCEEDED THE SPEED LIMIT. V1 HAS ENTERED KELSTON RD, V1 HAS C/WITH",358733,177486,CARS
49,171700289,2017/01/04 00:00:00+00,2040,3,Slight,LC,Loss of Control,3,1,0,0,1,0,0,V1 (CAS1) (MCYCLE WITH TWO OCUPANTS) (STOLEN) V1 HAS BEEN NOTED TRAV SE ON WESSEX AV AT J/WITH FILTON GV AT EXCESS SPEED. R1 HAS LOST CONTROL AND C/WITH PARKED AND UNATTENDED V1 AND V3. BLOOD TRAIL HAS BEEN FOUND AT THE SCENE.,359860,177060,MCYC
50,171700299,2017/01/09 00:00:00+00,730,3,Slight,J1,Turning Movement from major road,2,2,0,0,0,0,0,V1  (CAS1) TRAV E ON ANCHOR RD AT JUNCTION WITH CANONS WAY. V2 (CAS2)  TRAV W ON ANCHOR RD AT JUNCTION WITH CANONS WAY V1 HAS MADE A R/TURN INTO CANONS WAY AND C/WITH PASSING V2.,358154,172560,CARS
51,171700235,2017/01/10 00:00:00+00,830,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,V1 (CAS1) (CYCLE) TRAV S ON GLOUCESTER RD AT J/WITH CHURCHWAYS AV.  V2 TRAV SE ON CHURCHWAYS AV AT J/WITH GLOUCESTER RD. V2 HAS MADE A R/TURN AND C/WITH PASSING V1. R1 HAS BECOME UNSEATED.,359430,176539,CYC
52,171700239,2017/01/06 00:00:00+00,2030,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,V1 TRAV SW ON STAPLETON RD (EXACT LOCATION UNKNOWN). CAS1 HAS BEEN CROSSING C/WAY ON CROSSING. V1 HAS STRUCK CROSSING CAS1. V1 HAS LEFT THE SCENE FAILING TO STOP. CROSSING PRIORITY AT THE TIME UNKNOWN.,360728,174513,A
53,171700240,2017/01/10 00:00:00+00,23,3,Slight,NT,Nose to Tail,1,2,1,0,1,0,0,"V1 (CAS1) (MCYCLE) TRAV NW ON PARK ST. V1 HAS BEEN FOLLOWING AN (UNRECORDED) CYCLIST. CYCLIST HAS MOVED RIGHT ACROSS THE C/WAY, V1 HAS C/WITH THE REAR OF CYCLIST. PARAMEDICS HAVE ATTENDED THE SCENE  CAS2 IS CYCLIST",358348,172844,MCYC
54,171700247,2017/01/06 00:00:00+00,1832,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,"V1 TRAV NW ON  MULLER RD. CAS1 HAS STEPPED OUT INTO THE C/WAY, CROSSING NOT USING PEDESTRIAN CROSSING. V1 HAS STRUCK CROSSING CAS1. CAS1 HAS BEEN TAKEN TO A&E",361304,175211,A
55,171700249,2017/01/06 00:00:00+00,745,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,"V1 (CAS1) TRAV SE ON LAWRENCE HILL R/ABOUT. V2 TRAV SE BEHIND V1. V2 HAS C/WITH THE REAR OF V1. 1 HAS BEEN TAKEN TO HOSPITAL FOR OBSERVATIONS, D1 HAS SUSTAINED A BANG TO THE HEAD.",360518,173454,CARS
56,171700250,2017/01/06 00:00:00+00,2245,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,V1 (TAXI) STATIC AT RED ATL TRAV W ENTERING ST JAMES BARTON R/ABOUT. V2 (CAS1) (CYCLE) HAS BEEN STATIC ON THE INSIDE OF V1. V1 HAD V2 HAVE MOVED OFF ON A GREEN ATL. V2 HAS MOVED RIGHT AND C/WITH V1. CF ADDED FOR VALIDATION,359102,173536,CYC
57,171700332,2017/01/13 00:00:00+00,730,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,V1 (CAS1) TRAV S ON CUMBERLAND BASIN BRIDGE FOLLOWING C/WAY ONTO ASHTON AV. V2 TRAV N ON AVON CRESCENT. V2 HAS MADE A L/TURN ONTO ASHTON AV. V2 HAS C/WITH PASSING V1,357071,172206,CYC
58,171700361,2017/01/08 00:00:00+00,1145,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,V1 (CAS1) TRAV N ON HALLEN RD J/WITH AVONMOUTH WAY. V2 TRAV N BEHIND V1. V2 HAS MOVED FORWARD AND C/WITH THE REAR OF V1 AT LOW SPEED. PASSENGER OF V1 SUFFERED MINOR INJURIES. (CF ADDED FOR VALIDATION),356018,179052,CARS
59,171700380,2017/01/10 00:00:00+00,1813,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,V1 TRAV SE ON HARECLIVE RD AT J/WITH MURFORD AV. CAS1 HAS BEEN CROSSING HARECLIVE RD ACROSS J/WITH MURFORD AV. V1 HAS MADE A R/TURN INTO MURFORD AV AND STRUCK CAS1.,357747,168112,E
60,171700381,2017/01/11 00:00:00+00,2046,3,Slight,A,Adult pedestrian,2,1,1,0,0,0,0,V1 (PSV) TRAV SW ON BEDMINSTER PARADE AT J/WITH BEDMINSTER BRIDGE. CAS1 HAS STEPPED OUT INTO THE C/WAY AND BEEN STRUCK BY PASSING. CAS1 MAY ALSO HAVE BEEN STRUCK BY V2 TRAV NE ON BEDMINSTER PARADE.,358866,171868,A
61,171700384,2017/01/12 00:00:00+00,1020,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,"V1 TRAV NE ON PLIMSOLL BRIDGE, V1 HAS SUDDENLY SLOWED WITH THE FLOW OF TRAFFIC, V2 (CAS1) TRAV BEHIND HAS C/WITH THE REAR OF SLOWING V1.",356842,172365,CARS
62,171700394,2017/01/09 00:00:00+00,1434,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,V1 TRAV NW ON  BATH RD. CAS1 HAS ALIGHTED FROM A BUS AND CROSSED INTO THE C/WAY FROM BEHIND THE BUS. CAS1 HAS BEEN CLIPPED BY PASSING V1.,362360,170289,A
63,171700527,2017/01/22 00:00:00+00,2030,3,Slight,NONE,Other,2,1,0,1,0,0,0,V1 TRAV N ON WHITELADIES RD  AT J/WITH LOWER REDLAND RD. V1 HAS MADE A R/TURN INTO LOWER REDLAND RD AND PARKED OUTSIDE TESCO. CYCLIST (V2) (CAS1) HAS APPROACHED D1 AND STATED THAT HE HAD CUT HIM UP CAUSING R2 TO BECOME UNSEATED. DETAILS EXCHANGED,357450,174623,CYC
64,171700571,2017/01/11 00:00:00+00,1205,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,1,0,V1 TRAV S ON BATH RD AT J/WITH ARNOS MANOR HOTEL. V2 (CAS1) TRAV N ON BATH RD. V1 HAS MADE A R/TURN AND C/WITH PASSING V2. DAMAGE CAUSE TO FRONT OF BOTH VEHICLES,361168,171535,CARS
65,171700576,2017/01/13 00:00:00+00,1246,3,Slight,NONE,Other,2,1,0,0,1,0,0,"V1 TRAV N ON EASTON WAY AT J/WITH U STAPLETON RD, V1 HAS BEEN STATIC IN FILTER LANE TO MAKE A R/TURN ONTO  STAPLETON RD. V2  (CAS1) (MCYCLE) HAS BEEN TRAV OUTSIDE AT STATIC TRAFFIC APPROACHING RED ATL TO MAKE A R/TURN ONTO STAPLETON RD. D1 HAS OPENED",360429,173961,MCYC
66,171700625,2017/01/12 00:00:00+00,1325,3,Slight,NONE,Other,2,1,0,0,0,0,0,V2 (CAS1) PARKED AT KERB ON FISHPONDS RD. V1 (PSV) TRAV NE FISHPONDS RD. D2 HAS OPENED THE DOOR INTO THE PATH OF ONCOMING V1. V1 HAS STRUCK THE OPEN DOOR OF V2.,363357,175857,CARS
67,171700637,2017/01/12 00:00:00+00,1410,3,Slight,NONE,Other,2,1,0,0,0,0,0,"V2 (CAS1) (PSV) TRAV NE ON WILLIAM JESSOP WAY. V1 (ARTICULATED CONSTRUCTION VEHICLE), V1 HAS REVERSED OUT OF CONSTRUCTION SITE ENTRANCE AND C/WITH PASSING V2. THE COLLISION HAS SMASHED A WINDOW OF V2 SHOWERING PASSENGERS WITH GLASS, MINOR CUTS SUSTAI",359050,167841,CARS
